iter	Passed	Remaining
0	150	150264
1	151	75617
2	152	50649
3	153	38145
4	154	30724
5	155	25748
6	156	22169
7	157	19491
8	158	17484
9	159	15805
10	160	14429
11	161	13279
12	162	12303
13	162	11468
14	163	10756
15	164	10139
16	165	9586
17	166	9092
18	167	8647
19	168	8246
20	169	7886
21	170	7561
22	171	7266
23	171	6993
24	172	6738
25	173	6507
26	174	6288
27	175	6085
28	176	5895
29	177	5724
30	177	5561
31	178	5409
32	179	5263
33	180	5128
34	181	4998
35	182	4874
36	183	4763
37	183	4656
38	184	4554
39	185	4456
40	186	4362
41	187	4270
42	187	4181
43	188	4097
44	189	4019
45	190	3944
46	190	3872
47	191	3803
48	192	3739
49	193	3675
50	194	3616
51	195	3558
52	196	3503
53	196	3449
54	197	3397
55	198	3349
56	199	3303
57	200	3259
58	201	3217
59	203	3181
60	204	3140
61	204	3099
62	205	3061
63	206	3022
64	207	2989
65	208	2951
66	209	2916
67	209	2877
68	211	2848
69	212	2818
70	213	2791
71	214	2762
72	215	2731
73	215	2701
74	216	2672
75	217	2644
76	218	2617
77	219	2589
78	219	2563
79	220	2537
80	221	2512
81	222	2489
82	223	2467
83	224	2445
84	224	2421
85	226	2405
86	227	2383
87	228	2363
88	229	2345
89	229	2324
90	230	2305
91	231	2285
92	232	2267
93	233	2249
94	234	2234
95	235	2218
96	236	2201
97	237	2184
98	237	2166
99	238	2148
100	239	2131
101	239	2111
102	240	2095
103	241	2081
104	242	2066
105	243	2051
106	244	2037
107	244	2021
108	245	2006
109	246	1992
110	247	1982
111	249	1974
112	249	1961
113	250	1948
114	251	1935
115	252	1920
116	252	1907
117	253	1895
118	254	1881
119	255	1870
120	255	1859
121	256	1847
122	257	1834
123	258	1823
124	258	1811
125	259	1800
126	260	1788
127	260	1776
128	261	1765
129	262	1755
130	263	1745
131	263	1735
132	264	1725
133	265	1716
134	266	1706
135	267	1696
136	267	1687
137	268	1677
138	269	1667
139	270	1659
140	271	1651
141	271	1643
142	272	1634
143	273	1626
144	274	1617
145	275	1609
146	276	1601
147	276	1593
148	277	1586
149	278	1579
150	279	1571
151	280	1563
152	281	1555
153	281	1547
154	282	1540
155	283	1533
156	284	1525
157	285	1519
158	285	1512
159	286	1506
160	287	1499
